full_name,a,e,G,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,neo,pha,moid,diam_bin
223225 (2003 DW7),2.626157275328301,0.1234769006513022,,2.281814767848303,185.3615109325968,35.46058999364774,2.301887514347894,2.950427036308708,4.2558792713077,5770.0,0,234,16.8,,,0.078,,,,,,,,N,N,1.29432,Missing
       (2010 VA88),5.056545471357293,0.1169298184642531,,6.205681072642604,262.6862719781517,207.2987876380628,4.465284527335244,5.647806415379343,11.3707491269917,8.0,9,9,14.125,,,0.078,,,,,,,,N,N,3.48327,Missing
       (2014 CW23),5.315546356846307,0.03404917929070136,,26.4657703951098,354.91349707662,84.10310035360136,5.134556365914012,5.496536347778601,12.2554727101669,43.0,7,11,14.396,,,0.078,,,,,,,,N,N,4.23848,Missing
       (2018 TP14),2.902935518117859,0.1022584453494361,,11.75918156747306,43.24192017422872,301.1352775143872,2.606085845085467,3.199785191150252,4.94611586770723,32.0,5,22,17.333,,,0.078,,,,,,,,N,N,1.62255,Missing
 14129 Dibucci (1998 QO95),2.364790443037689,0.1515418951262218,,6.957557831620703,206.0212997617866,185.2004770103571,2.00642561772338,2.723155268351998,3.63661390217049,14092.0,0,1138,14.6,,,0.078,,,,,,,,N,N,1.01132,Missing
250931 (2005 WF122),1.965545056720339,0.1080683657550203,,24.06236121469216,93.7768012117564,311.1736675635964,1.753131814622713,2.177958298817965,2.7557048960927,8632.0,0,225,17.1,,,0.078,,,,,,,,N,N,0.810211,Missing
 87970 (2000 TT38),2.578172201364399,0.2157532504056281,,8.57811669015114,31.6998466789122,331.5386402596673,2.021923168814597,3.134421233914202,4.13976877397997,9669.0,0,517,15.1,3.296,,0.148,,,,,,,,N,N,1.0242,Small
481643 (2007 VD116),2.736048229334807,0.1570989170903223,,11.48750313226447,224.3826582042485,207.4695306771341,2.306218015399415,3.165878443270199,4.5257840250087,3425.0,0,64,17.2,,,0.078,,,,,,,,N,N,1.32601,Missing
182508 (2001 SA253),2.553893602112237,0.1460895216040768,,2.244133883749853,89.2500758764756,247.9644603917969,2.180796507551948,2.926990696672526,4.08143047078475,21308.0,0,308,16.7,,,0.078,,,,,,,,N,N,1.17169,Missing
 25034 Lesliemarie (1998 QS32),2.308251672329817,0.1838239832167388,,6.461787753550321,327.0263958310987,322.7674969727695,1.883939655655452,2.732563689004183,3.50697718531739,10219.0,0,1084,15.2,2.534,,0.209,,,,,,,,N,N,0.871909,Small
       (2011 WP83),3.014702906654157,0.2318429883038178,,7.797385885286703,224.777099362918,132.7936426708292,2.315765175927252,3.713640637381062,5.23449731985124,7706.0,1.0,135,17.4,,,0.078,,,,,,,,N,N,1.32014,Missing
540121 (2017 OF66),2.865171577452024,0.0908317409918364,,6.936778558904117,135.0541680278497,179.0518502333719,2.60492305483173,3.125420100072317,4.84991529620468,4637.0,0,77,17.169,,,0.078,,,,,,,,N,N,1.59016,Missing
229539 (2005 YA79),2.648736833524792,0.08082579214007252,,2.379085064363269,100.0046755933677,85.56260762980611,2.434650580784564,2.862823086265021,4.31088481286019,9027.0,0,192,17.1,,,0.078,,,,,,,,N,N,1.43786,Missing
 60878 (2000 HW89),2.169129669002999,0.06410704702626796,,1.45631707733532,56.64472551307454,16.70557231642235,2.030073171306151,2.308186166699847,3.19474702334354,7572.0,0,948,16.0,,,0.078,,,,,,,,N,N,1.04457,Missing
217483 (2005 YG290),2.388677802908142,0.1631986898751602,,2.204740296614851,0.3238239358913573,253.127342007183,1.998848714939657,2.778506890876627,3.6918543839275,5980.0,0,191,17.4,,,0.078,,,,,,,,N,N,0.985428,Missing
298156 (2002 TW24),2.756049611389056,0.2432097493370234,,2.287362621671877,20.98748050659761,61.89730098861698,2.085751476242723,3.426347746535389,4.57550199201373,5671.0,0,197,16.6,,,0.078,,,,,,,,N,N,1.10283,Missing
       (2005 VG80),3.113493084530716,0.207333554206967,,24.53371973211505,221.8203677817523,283.7527880477569,2.46796149731615,3.759024671745282,5.49389127505059,7.0,8,16,16.617,,,0.078,,,,,,,,N,N,1.59858,Missing
538805 (2016 GV125),3.008789175940147,0.08211778213600872,,1.179578117123169,227.7014457607536,15.43858256384748,2.761714081897113,3.255864269983181,5.2191026576893,4077.0,0,57,17.0,,,0.078,,,,,,,,N,N,1.74854,Missing
 49709 (1999 VJ26),2.314380204110687,0.1256674286671333,,2.952856563428755,62.9268297923656,54.49560594035984,2.023537994901982,2.605222413319392,3.52095327018363,8343.0,0,863,15.7,,,0.078,,,,,,,,N,N,1.04177,Missing
498966 (2009 BY116),3.007735636052178,0.1588636189890995,,4.080161096815633,67.54719593186844,6.491877456307507,2.529915867946448,3.485555404157908,5.21636166231896,4080.0,0,82,16.9,,,0.078,,,,,,,,N,N,1.54474,Missing
475863 (2007 CG1),3.093190047625384,0.1531202322420388,,17.85305135094323,140.0969802723576,46.49078466510682,2.619560069164223,3.566820026086547,5.44024061604008,4576.0,0,204,15.7,,,0.078,,,,,,,,N,N,1.65697,Missing
       (2014 TO29),3.011324190578304,0.04541367403098417,,1.489594665758118,44.29584882154698,23.7238036715672,2.874568895385764,3.148079485770845,5.22569997338608,7695.0,0,110,16.916,,,0.078,,,,,,,,N,N,1.88815,Missing
       (2015 CV25),2.208719871826994,0.1254368664508603,,4.350015232846222,352.0509734849347,119.9650245438079,1.93166497223727,2.485774771416717,3.28260903167045,6376.0,0,71,18.429,,,0.078,,,,,,,,N,N,0.952704,Missing
286005 (2001 SC94),2.933374848796347,0.2323130012614993,,1.987460317980461,227.7206177388799,124.7527277841297,2.25191373384747,3.614835963745223,5.02411472844903,5969.0,0,105,17.0,,,0.078,,,,,,,,N,N,1.24646,Missing
       (2008 TH187),2.169813097988255,0.06357124221222961,,4.031105243601199,190.3111221551742,280.4013438943514,2.031875383980775,2.307750811995735,3.19625699855508,2686.0,2.0,22,19.0,,,0.078,,,,,,,,N,N,1.05325,Missing
444937 (2008 CD17),3.057925442190347,0.1800176069667275,,10.02128929072735,319.6298681566977,215.494104177008,2.507445021804569,3.608405862576125,5.34747226473261,4083.0,0,55,16.6,,,0.078,,,,,,,,N,N,1.52143,Missing
172579 (2003 UC249),2.731799830286142,0.04602653110309283,,16.29682378676594,218.4568452926808,65.18213784991707,2.606064560430053,2.857535100142231,4.51524700088268,8037.0,0,293,15.7,,,0.078,,,,,,,,N,N,1.62848,Missing
297385 (2000 QW16),2.372084473986578,0.2278508691385618,,1.541727696931267,218.2127771020824,151.2715479094418,1.831602964918648,2.912565983054508,3.65345219200545,8505.0,0,232,17.3,,,0.078,,,,,,,,N,N,0.830431,Missing
422529 (2014 TY18),2.649868800922793,0.1285879427422658,,3.905956203178275,204.9834629109772,191.2997968230444,2.309127623275216,2.99060997857037,4.31364856556096,4305.0,0,175,17.2,,,0.078,,,,,,,,N,N,1.3155,Missing
455884 (2005 UL118),2.806077307415773,0.06236019294141001,,6.995121885354992,31.7535871064173,57.88356783903495,2.631089785116813,2.981064829714733,4.70064712069242,6492.0,0,56,17.5,,,0.078,,,,,,,,N,N,1.65519,Missing
       (2015 XU218),3.173005248765063,0.279508511272819,,13.16023936802796,246.7287021262366,133.0327092256495,2.286123275421899,4.059887222108227,5.65215922915258,102.0,4,27,17.95,,,0.078,,,,,,,,N,N,1.312,Missing
 88667 (2001 RR79),2.418614178910186,0.109939070491232,,6.8136368423837,163.5741648330433,205.552430902301,2.152713984203886,2.684514373616486,3.76147425859158,8031.0,0,627,15.6,,,0.078,,,,,,,,N,N,1.15245,Missing
       (2012 KQ23),3.0189675,0.0286439,,8.93768,174.26475,322.42656,2.9324925,3.1054425,5.24560849472964,3531.454067475874,1.0,29,16.9,,,0.078,,,,,,,,N,N,1.9507162142328527,Missing
276749 (2004 FE67),2.300112805981287,0.08844240379938008,,7.712212645019675,32.65694052661032,226.4710116559416,2.096685300410565,2.503540311552009,3.48844520910554,5191.0,0,134,17.4,,,0.078,,,,,,,,N,N,1.09023,Missing
       (2011 KY48),2.872256865174382,0.146255113799716,,9.0199182161003,213.1564160230279,318.4835890870738,2.452174610496287,3.292339119852477,4.86791645934657,1871.0,3,27,17.232,,,0.078,,,,,,,,N,N,1.46555,Missing
       (2005 XG43),2.567215543059532,0.1818779619565464,,9.970928207170193,62.8714223955043,303.5715956314021,2.100295612184696,3.034135473934368,4.11340718689137,1476.0,4,14,18.188,,,0.078,,,,,,,,N,N,1.11823,Missing
365078 (2009 BS36),2.326756114054411,0.08486247772555645,,3.014363641598178,16.95499660272554,152.7274644309739,2.129301825152666,2.524210402956156,3.54923289461919,6164.0,0,134,17.8,,,0.078,,,,,,,,N,N,1.13594,Missing
506871 (2007 YR26),3.055564750903665,0.1407681419824005,,5.28498945932682,22.4977828159238,141.3367063625196,2.625438578212039,3.48569092359529,5.34128115833348,6765.0,0,88,16.8,,,0.078,,,,,,,,N,N,1.63592,Missing
401445 (2013 CJ135),2.560036487200034,0.08540729840760858,,4.872746633336088,97.07918808972664,130.2829659606183,2.341390687003375,2.778682287396694,4.09616493071113,4884.0,0,79,17.4,,,0.078,,,,,,,,N,N,1.33461,Missing
360499 (2002 XK53),2.733002496125421,0.197612575401823,,10.94786716398283,81.9838201863493,14.08128397720547,2.192926834286466,3.273078157964376,4.51822906286873,6141.0,0,274,16.2,,,0.078,,,,,,,,N,N,1.21136,Missing
       (2009 WU162),2.761239331191911,0.06976830457786565,,7.71361273100477,61.94016420504083,309.77660570675,2.568592344520932,2.95388631786289,4.58843177460338,2331.0,4.0,30,17.087,,,0.078,,,,,,,,N,N,1.57704,Missing
       (2009 FG40),3.149205227304513,0.147451740412556,,12.8445579275762,34.88544753749591,121.6614366375806,2.684849435622144,3.613561018986883,5.58868520529629,3558.0,0.0,69,16.5,,,0.078,,,,,,,,N,N,1.71942,Missing
205049 (1998 WE40),2.13808863330382,0.07444408436891654,,4.612613091755287,67.32718529319901,278.0832840117176,1.978920582697929,2.297256683909711,3.12641596163371,7472.0,0,202,17.4,,,0.078,,,,,,,,N,N,0.976913,Missing
465711 (2009 UM32),2.859979851293719,0.192824383786038,,12.57108657036156,222.9997188902257,226.4860968555438,2.308505998827523,3.411453703759915,4.83673911026543,5024.0,0,115,16.6,,,0.078,,,,,,,,N,N,1.34354,Missing
       (2016 EM21),3.166749786995457,0.102959991308159,,10.97878885176854,250.8972006031015,287.7642084977291,2.84070125645129,3.492798317539623,5.63545293750479,2.0,9,12,17.382,,,0.078,,,,,,,,N,N,1.86765,Missing
535644 (2015 BV113),3.083161839491001,0.0569446598394056,,8.101251441105399,259.1529237068207,279.3788168056629,2.90759223731135,3.258731441670652,5.41380595350894,3659.0,0,67,16.2,,,0.078,,,,,,,,N,N,1.92501,Missing
       (2009 BO146),2.627538309278528,0.2315191006532417,,11.37228837168426,325.2628239933815,232.0845192590551,2.019213002982424,3.235863615574632,4.25923681188263,2039.0,2.0,48,17.2,,,0.078,,,,,,,,N,N,1.04172,Missing
